CMDLINE python3 thread/client.py
MEM 33.109375 1729535353.1219
MEM 33.109375 1729535353.2268
MEM 33.109375 1729535353.3270
MEM 33.109375 1729535353.4320
MEM 33.125000 1729535353.5372
MEM 33.125000 1729535353.6417
MEM 33.140625 1729535353.7469
MEM 33.140625 1729535353.8489
MEM 33.140625 1729535353.9540
MEM 33.140625 1729535354.0591
MEM 33.140625 1729535354.1643
MEM 33.140625 1729535354.2694
MEM 33.140625 1729535354.3745
MEM 33.140625 1729535354.4782
MEM 33.203125 1729535354.5826
MEM 31.656250 1729535354.6849
MEM 31.687500 1729535354.7906
MEM 31.703125 1729535354.8914
MEM 31.703125 1729535354.9967
MEM 31.703125 1729535355.0969
MEM 31.703125 1729535355.2021
MEM 31.703125 1729535355.3069
MEM 31.703125 1729535355.4120
MEM 31.703125 1729535355.5172
MEM 31.703125 1729535355.6223
MEM 31.718750 1729535355.7274
MEM 31.718750 1729535355.8326
MEM 31.718750 1729535355.9377
MEM 31.718750 1729535356.0428
MEM 31.718750 1729535356.1480
MEM 31.718750 1729535356.2518
MEM 31.734375 1729535356.3544
MEM 31.734375 1729535356.4595
MEM 31.734375 1729535356.5627
MEM 31.734375 1729535356.6679
MEM 31.734375 1729535356.7730
MEM 31.734375 1729535356.8781
MEM 31.734375 1729535356.9797
MEM 31.750000 1729535357.0848
MEM 31.750000 1729535357.1899
MEM 31.750000 1729535357.2907
MEM 31.750000 1729535357.3958
MEM 31.750000 1729535357.5009
MEM 31.750000 1729535357.6061
MEM 31.750000 1729535357.7112
MEM 31.750000 1729535357.8163
MEM 31.750000 1729535357.9215
MEM 31.765625 1729535358.0266
MEM 31.765625 1729535358.1290
MEM 31.765625 1729535358.2341
MEM 31.765625 1729535358.3393
MEM 31.781250 1729535358.4444
MEM 31.765625 1729535358.5474
MEM 31.765625 1729535358.6518
MEM 31.765625 1729535358.7569
MEM 31.765625 1729535358.8619
MEM 31.765625 1729535358.9670
MEM 31.765625 1729535359.0721
MEM 31.765625 1729535359.1772
MEM 31.765625 1729535359.2823
MEM 31.765625 1729535359.3874
MEM 31.765625 1729535359.4925
MEM 31.765625 1729535359.5962
MEM 31.765625 1729535359.7013
MEM 31.765625 1729535359.8054
MEM 31.765625 1729535359.9101
MEM 31.781250 1729535360.0145
MEM 31.781250 1729535360.1160
MEM 31.781250 1729535360.2211
MEM 31.781250 1729535360.3263
MEM 31.781250 1729535360.4314
MEM 31.781250 1729535360.5365
MEM 31.781250 1729535360.6404
MEM 31.781250 1729535360.7415
MEM 31.781250 1729535360.8430
MEM 31.781250 1729535360.9471
MEM 31.781250 1729535361.0514
MEM 31.781250 1729535361.1555
MEM 31.781250 1729535361.2607
MEM 31.781250 1729535361.3658
MEM 31.781250 1729535361.4675
MEM 31.781250 1729535361.5695
MEM 31.781250 1729535361.6747
MEM 31.781250 1729535361.7780
MEM 31.781250 1729535361.8831
MEM 31.781250 1729535361.9882
MEM 31.781250 1729535362.0922
MEM 31.781250 1729535362.1949
MEM 31.781250 1729535362.3000
MEM 31.781250 1729535362.4051
MEM 31.781250 1729535362.5075
MEM 31.781250 1729535362.6112
MEM 31.781250 1729535362.7162
MEM 31.796875 1729535362.8214
MEM 31.796875 1729535362.9265
MEM 31.796875 1729535363.0287
MEM 31.796875 1729535363.1338
MEM 31.796875 1729535363.2381
MEM 31.796875 1729535363.3432
MEM 31.796875 1729535363.4483
MEM 31.796875 1729535363.5535
MEM 31.796875 1729535363.6579
MEM 31.796875 1729535363.7630
