CMDLINE python3 async/client.py
MEM 27.500000 1729535019.5445
MEM 27.531250 1729535019.6493
MEM 27.531250 1729535019.7544
MEM 27.531250 1729535019.8569
MEM 27.546875 1729535019.9598
MEM 27.562500 1729535020.0649
MEM 27.562500 1729535020.1687
MEM 27.562500 1729535020.2738
MEM 27.562500 1729535020.3789
MEM 27.562500 1729535020.4825
MEM 27.562500 1729535020.5847
MEM 27.562500 1729535020.6877
MEM 27.562500 1729535020.7928
MEM 27.625000 1729535020.8979
MEM 27.625000 1729535021.0020
MEM 27.625000 1729535021.1045
MEM 27.625000 1729535021.2096
MEM 27.625000 1729535021.3120
MEM 27.625000 1729535021.4172
MEM 27.625000 1729535021.5222
MEM 27.625000 1729535021.6237
MEM 27.625000 1729535021.7256
MEM 27.640625 1729535021.8308
MEM 27.640625 1729535021.9359
MEM 27.640625 1729535022.0400
MEM 27.640625 1729535022.1452
MEM 27.671875 1729535022.2469
MEM 27.671875 1729535022.3491
MEM 27.671875 1729535022.4542
MEM 27.671875 1729535022.5568
MEM 27.703125 1729535022.6606
MEM 27.703125 1729535022.7654
MEM 27.703125 1729535022.8705
MEM 27.703125 1729535022.9730
MEM 27.703125 1729535023.0768
MEM 27.703125 1729535023.1787
MEM 27.703125 1729535023.2838
MEM 27.718750 1729535023.3862
MEM 27.718750 1729535023.4877
MEM 27.718750 1729535023.5879
MEM 27.718750 1729535023.6930
MEM 27.718750 1729535023.7955
MEM 27.718750 1729535023.9007
MEM 27.718750 1729535024.0024
MEM 27.718750 1729535024.1032
MEM 27.718750 1729535024.2084
MEM 27.718750 1729535024.3135
MEM 27.718750 1729535024.4190
MEM 27.718750 1729535024.5230
MEM 27.718750 1729535024.6261
MEM 27.687500 1729535024.7313
MEM 27.687500 1729535024.8364
MEM 27.703125 1729535024.9407
MEM 27.687500 1729535025.0435
MEM 27.687500 1729535025.1452
MEM 27.687500 1729535025.2486
MEM 27.687500 1729535025.3530
MEM 27.687500 1729535025.4534
MEM 27.687500 1729535025.5574
MEM 27.687500 1729535025.6625
MEM 27.687500 1729535025.7676
MEM 27.687500 1729535025.8689
MEM 27.687500 1729535025.9695
MEM 27.687500 1729535026.0746
MEM 27.687500 1729535026.1795
MEM 27.687500 1729535026.2812
MEM 27.703125 1729535026.3839
MEM 27.703125 1729535026.4850
MEM 27.703125 1729535026.5901
MEM 27.703125 1729535026.6952
MEM 27.703125 1729535026.8003
MEM 27.703125 1729535026.9040
MEM 27.703125 1729535027.0061
MEM 27.703125 1729535027.1112
MEM 27.703125 1729535027.2163
MEM 27.703125 1729535027.3207
MEM 27.718750 1729535027.4251
MEM 27.718750 1729535027.5302
MEM 27.734375 1729535027.6333
MEM 27.734375 1729535027.7384
MEM 27.734375 1729535027.8424
MEM 27.734375 1729535027.9435
MEM 27.734375 1729535028.0474
MEM 27.734375 1729535028.1510
MEM 27.781250 1729535028.2561
MEM 27.781250 1729535028.3586
MEM 27.781250 1729535028.4637
MEM 27.781250 1729535028.5688
MEM 27.781250 1729535028.6716
MEM 27.781250 1729535028.7725
MEM 27.781250 1729535028.8776
MEM 27.781250 1729535028.9827
MEM 27.781250 1729535029.0857
MEM 27.781250 1729535029.1908
MEM 27.781250 1729535029.2937
MEM 27.781250 1729535029.3988
MEM 27.781250 1729535029.5005
MEM 27.781250 1729535029.6057
MEM 27.781250 1729535029.7108
MEM 27.781250 1729535029.8159
MEM 27.781250 1729535029.9162
MEM 27.781250 1729535030.0199
MEM 27.781250 1729535030.1250
MEM 27.781250 1729535030.2286
MEM 27.781250 1729535030.3336
MEM 27.781250 1729535030.4351
MEM 27.781250 1729535030.5494
MEM 27.781250 1729535030.6511
MEM 27.781250 1729535030.7535
MEM 27.781250 1729535030.8551
MEM 27.781250 1729535030.9598
MEM 27.781250 1729535031.0649
MEM 27.781250 1729535031.1691
MEM 27.781250 1729535031.2734
MEM 27.781250 1729535031.3785
MEM 27.781250 1729535031.4836
MEM 27.781250 1729535031.5887
MEM 27.781250 1729535031.6936
MEM 27.781250 1729535031.7987
MEM 27.781250 1729535031.9036
MEM 27.781250 1729535032.0087
MEM 27.781250 1729535032.1137
MEM 27.781250 1729535032.2161
MEM 27.781250 1729535032.3213
MEM 27.781250 1729535032.4264
MEM 27.796875 1729535032.5296
MEM 27.796875 1729535032.6348
MEM 27.796875 1729535032.7374
MEM 27.796875 1729535032.8425
MEM 27.796875 1729535032.9472
MEM 27.796875 1729535033.0523
MEM 27.796875 1729535033.1574
MEM 26.937500 1729535033.2625
MEM 26.937500 1729535033.3667
MEM 26.937500 1729535033.4719
MEM 26.937500 1729535033.5770
MEM 26.937500 1729535033.6821
MEM 26.953125 1729535033.7847
MEM 26.953125 1729535033.8898
MEM 26.953125 1729535033.9937
MEM 26.953125 1729535034.0992
MEM 27.015625 1729535034.2043
MEM 27.015625 1729535034.3094
MEM 27.015625 1729535034.4146
MEM 27.015625 1729535034.5195
MEM 26.781250 1729535034.6231
MEM 26.796875 1729535034.7274
MEM 26.765625 1729535034.8300
MEM 26.703125 1729535034.9332
MEM 26.703125 1729535035.0364
MEM 26.703125 1729535035.1415
MEM 26.718750 1729535035.2436
MEM 26.625000 1729535035.3487
MEM 26.640625 1729535035.4524
MEM 26.640625 1729535035.5541
MEM 26.671875 1729535035.6590
MEM 26.718750 1729535035.7643
MEM 26.718750 1729535035.8697
MEM 26.765625 1729535035.9734
MEM 26.781250 1729535036.0788
MEM 26.781250 1729535036.1805
MEM 26.781250 1729535036.2815
MEM 26.781250 1729535036.3836
MEM 26.796875 1729535036.4887
MEM 26.734375 1729535036.5893
MEM 26.703125 1729535036.6951
MEM 26.687500 1729535036.8007
MEM 26.703125 1729535036.9049
MEM 26.703125 1729535037.0093
MEM 26.703125 1729535037.1144
MEM 26.703125 1729535037.2189
MEM 26.703125 1729535037.3195
MEM 26.703125 1729535037.4201
MEM 26.703125 1729535037.5253
MEM 26.703125 1729535037.6299
MEM 26.734375 1729535037.7350
MEM 26.734375 1729535037.8383
MEM 26.734375 1729535037.9432
MEM 26.734375 1729535038.0444
MEM 26.765625 1729535038.1496
MEM 26.765625 1729535038.2517
MEM 26.765625 1729535038.3568
MEM 26.765625 1729535038.4620
MEM 26.765625 1729535038.5643
MEM 26.781250 1729535038.6654
MEM 26.781250 1729535038.7705
MEM 26.781250 1729535038.8756
MEM 26.781250 1729535038.9797
MEM 26.781250 1729535039.0848
MEM 26.781250 1729535039.1899
MEM 26.781250 1729535039.2949
MEM 26.781250 1729535039.3961
MEM 26.781250 1729535039.5002
MEM 26.781250 1729535039.6029
MEM 26.781250 1729535039.7081
MEM 26.781250 1729535039.8132
MEM 26.781250 1729535039.9183
MEM 26.640625 1729535040.0195
MEM 26.625000 1729535040.1247
MEM 26.625000 1729535040.2258
MEM 26.484375 1729535040.3320
MEM 26.437500 1729535040.4372
MEM 26.453125 1729535040.5398
MEM 26.265625 1729535040.6449
MEM 26.312500 1729535040.7500
MEM 26.312500 1729535040.8532
MEM 26.328125 1729535040.9567
MEM 26.375000 1729535041.0619
MEM 26.375000 1729535041.1620
MEM 26.359375 1729535041.2672
MEM 26.359375 1729535041.3722
MEM 26.234375 1729535041.4774
MEM 26.281250 1729535041.5816
MEM 26.281250 1729535041.6854
MEM 26.281250 1729535041.7897
MEM 26.281250 1729535041.8948
MEM 26.296875 1729535041.9986
MEM 26.296875 1729535042.0994
MEM 26.296875 1729535042.2045
MEM 26.312500 1729535042.3047
MEM 26.312500 1729535042.4099
MEM 26.312500 1729535042.5132
MEM 26.328125 1729535042.6169
MEM 26.328125 1729535042.7220
MEM 26.328125 1729535042.8272
MEM 26.343750 1729535042.9273
MEM 26.359375 1729535043.0325
MEM 26.406250 1729535043.1360
MEM 26.406250 1729535043.2397
MEM 26.406250 1729535043.3408
MEM 26.343750 1729535043.4429
MEM 26.421875 1729535043.5480
MEM 26.406250 1729535043.6531
MEM 26.375000 1729535043.7574
MEM 26.375000 1729535043.8626
MEM 26.375000 1729535043.9635
MEM 26.375000 1729535044.0687
MEM 26.375000 1729535044.1738
MEM 26.390625 1729535044.2776
MEM 26.390625 1729535044.3827
MEM 26.406250 1729535044.4831
MEM 26.406250 1729535044.5857
MEM 26.406250 1729535044.6892
MEM 26.406250 1729535044.7943
MEM 26.437500 1729535044.8984
MEM 26.453125 1729535045.0035
MEM 26.453125 1729535045.1086
MEM 26.468750 1729535045.2137
MEM 26.468750 1729535045.3142
MEM 26.468750 1729535045.4190
MEM 26.468750 1729535045.5229
MEM 26.468750 1729535045.6281
MEM 26.468750 1729535045.7302
MEM 26.468750 1729535045.8354
MEM 26.484375 1729535045.9405
MEM 26.484375 1729535046.0417
MEM 26.484375 1729535046.1468
MEM 26.484375 1729535046.2502
MEM 26.484375 1729535046.3538
MEM 26.484375 1729535046.4589
MEM 26.484375 1729535046.5612
MEM 26.500000 1729535046.6645
MEM 26.500000 1729535046.7660
MEM 26.531250 1729535046.8692
MEM 26.531250 1729535046.9701
MEM 26.531250 1729535047.0752
MEM 26.531250 1729535047.1803
MEM 26.531250 1729535047.2855
MEM 26.531250 1729535047.3906
MEM 26.531250 1729535047.4957
MEM 26.531250 1729535047.6005
MEM 26.531250 1729535047.7028
MEM 26.531250 1729535047.8079
MEM 26.531250 1729535047.9131
MEM 26.531250 1729535048.0139
MEM 26.531250 1729535048.1190
MEM 26.531250 1729535048.2236
MEM 26.531250 1729535048.3269
MEM 26.531250 1729535048.4320
MEM 26.531250 1729535048.5371
MEM 26.531250 1729535048.6513
MEM 26.531250 1729535048.7528
MEM 26.531250 1729535048.8580
MEM 26.531250 1729535048.9603
MEM 26.531250 1729535049.0653
MEM 26.531250 1729535049.1696
MEM 26.531250 1729535049.2722
MEM 26.531250 1729535049.3774
MEM 26.531250 1729535049.4818
MEM 26.531250 1729535049.5827
MEM 26.609375 1729535049.6878
MEM 26.625000 1729535049.7885
MEM 26.625000 1729535049.8935
MEM 26.625000 1729535049.9987
MEM 26.640625 1729535050.0997
MEM 26.640625 1729535050.2042
MEM 26.640625 1729535050.3093
MEM 26.640625 1729535050.4140
MEM 26.640625 1729535050.5191
MEM 26.640625 1729535050.6212
MEM 26.656250 1729535050.7264
MEM 26.656250 1729535050.8292
MEM 26.656250 1729535050.9344
MEM 26.656250 1729535051.0395
MEM 26.656250 1729535051.1410
MEM 26.656250 1729535051.2461
MEM 26.656250 1729535051.3513
MEM 26.656250 1729535051.4553
MEM 26.656250 1729535051.5604
MEM 26.656250 1729535051.6610
MEM 26.640625 1729535051.7617
MEM 26.640625 1729535051.8669
MEM 26.640625 1729535051.9714
MEM 26.640625 1729535052.0766
MEM 26.640625 1729535052.1792
MEM 26.656250 1729535052.2833
MEM 26.656250 1729535052.3885
MEM 26.656250 1729535052.4936
MEM 26.656250 1729535052.5987
MEM 26.656250 1729535052.7039
MEM 26.671875 1729535052.8058
MEM 26.671875 1729535052.9110
MEM 26.671875 1729535053.0161
MEM 26.671875 1729535053.1190
MEM 26.671875 1729535053.2199
MEM 26.671875 1729535053.3250
MEM 26.671875 1729535053.4285
MEM 26.671875 1729535053.5309
MEM 26.671875 1729535053.6358
MEM 26.671875 1729535053.7386
MEM 26.656250 1729535053.8437
MEM 26.656250 1729535053.9483
MEM 26.656250 1729535054.0534
MEM 26.656250 1729535054.1586
MEM 26.656250 1729535054.2600
MEM 26.656250 1729535054.3651
MEM 26.656250 1729535054.4683
MEM 26.656250 1729535054.5735
MEM 26.656250 1729535054.6786
MEM 26.656250 1729535054.7807
MEM 26.656250 1729535054.8859
MEM 26.656250 1729535054.9908
MEM 26.656250 1729535055.0912
MEM 26.656250 1729535055.1920
MEM 26.656250 1729535055.2972
MEM 26.656250 1729535055.4023
MEM 26.671875 1729535055.5025
MEM 26.671875 1729535055.6077
MEM 26.687500 1729535055.7091
MEM 26.687500 1729535055.8097
MEM 26.687500 1729535055.9148
MEM 26.687500 1729535056.0199
MEM 26.687500 1729535056.1251
MEM 26.687500 1729535056.2285
MEM 26.687500 1729535056.3336
MEM 26.687500 1729535056.4340
MEM 26.687500 1729535056.5385
MEM 26.687500 1729535056.6436
MEM 26.687500 1729535056.7485
MEM 26.687500 1729535056.8537
MEM 26.703125 1729535056.9545
MEM 26.703125 1729535057.0596
MEM 26.703125 1729535057.1647
MEM 26.703125 1729535057.2685
MEM 26.703125 1729535057.3732
MEM 26.703125 1729535057.4750
MEM 26.703125 1729535057.5780
MEM 26.703125 1729535057.6831
MEM 26.703125 1729535057.7879
MEM 26.703125 1729535057.8930
MEM 26.703125 1729535057.9982
MEM 26.703125 1729535058.1033
